name,height,reach,stance,rating,rd,volatility,tot_str_pct,td_pct,sig_str_pct,head_sig_str_pct,body_sig_str_pct,leg_sig_str_pct,dist_sig_str_pct,clch_sig_str_pct,gnd_sig_str_pct,avg_kd,avg_tot_str_lnd,avg_td_lnd,avg_sub_att,avg_rev,avg_ctrl,avg_sig_str_lnd,avg_head_sig_str_lnd,avg_body_sig_str_lnd,avg_leg_sig_str_lnd,avg_dist_sig_str_lnd,avg_clch_sig_str_lnd,avg_gnd_sig_str_lnd
Christian Aguilera,69,72,Switch,1471.1843137010444,224.87423789375893,0.05999888665601937,0.3977053140096618,0.0,0.3150130063173541,0.2474747474747475,0.5555555555555555,0.2962962962962963,0.3150130063173541,0.0,0.0,0.0,7.833333333333333,0.0,0.0,0.0,10.666666666666666,6.333333333333333,4.333333333333333,0.6666666666666666,1.3333333333333333,6.333333333333333,0.0,0.0
Nick Aguirre,69,74,Southpaw,1220.9059682749235,251.84817244882083,0.05999928054367546,0.4699192956713133,0.1,0.36742424242424243,0.3484848484848485,0.5,0.0,0.43253968253968256,0.25,0.0,0.0,5.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,70.16666666666666,3.166666666666667,3.0,0.16666666666666666,0.0,3.0,0.16666666666666666,0.0
Omari Akhmedov,72,73,Orthodox,1826.7487047752709,106.96260323928851,0.06000140698014077,0.45838514166757705,0.39264550264550263,0.38316490794194813,0.3118431849378383,0.5972058426958144,0.787025012025012,0.3491566590423177,0.43682539682539684,0.38790935924712017,0.08888888888888888,20.67777777777778,0.7555555555555556,0.12222222222222222,0.0,60.666666666666664,13.722222222222221,9.477777777777778,2.344444444444444,1.9,9.844444444444443,1.7555555555555555,2.1222222222222222
Yoshihiro Akiyama,70,75,Orthodox,1560.1342206975542,151.70160284474417,0.05999863563397078,0.41879599093504377,0.37857142857142856,0.35881620996634195,0.3125451134010885,0.5873015873015872,0.64576802507837,0.3392993973467539,0.45918367346938777,0.3438149972632731,0.0,20.142857142857142,0.5714285714285714,0.047619047619047616,0.0,63.33333333333333,14.428571428571429,11.523809523809524,0.9523809523809523,1.9523809523809523,11.476190476190476,0.42857142857142855,2.523809523809524
Rostem Akman,70,72,Switch,1298.9593532880504,262.1305006712151,0.05999886422427973,0.26235657546337154,0.2,0.2631818181818182,0.20738835632452654,0.7,1.0,0.22321428571428573,0.7777777777777777,0.0,0.0,9.166666666666668,0.3333333333333333,0.0,0.0,33.833333333333336,9.0,6.333333333333333,2.0,0.6666666666666666,7.0,2.0,0.0
Razak Al-Hassan,74,74,Orthodox,1208.0654492991166,247.46327953139283,0.05999931196499315,0.37124582869855394,0.125,0.31227396021699816,0.18434782608695652,0.6025641025641025,0.7723214285714286,0.3195567535190177,0.3333333333333333,0.0,0.0,15.0,0.16666666666666666,0.0,0.16666666666666666,46.5,11.666666666666668,4.666666666666666,2.166666666666667,4.833333333333333,10.333333333333332,1.3333333333333335,0.0
Abdul-Kareem Al-Selwady,68,69,Orthodox,1341.8033976928668,274.70171396762026,0.05999940050619758,0.5952380952380952,0.42857142857142855,0.5588235294117647,0.4411764705882353,0.7272727272727273,0.6521739130434783,0.5573770491803278,0.5714285714285714,0.0,0.0,16.666666666666668,1.0,0.0,0.0,54.666666666666664,12.666666666666666,5.0,2.6666666666666665,5.0,11.333333333333334,1.3333333333333333,0.0
Mostapha Al-Turk,74,77,Orthodox,1260.521453621363,215.76948377692435,0.0599973093064022,0.34027121609798777,0.0,0.29397491980169144,0.06669691470054447,0.3333333333333333,0.9444444444444445,0.21249343832020998,0.25,0.0,0.0,6.888888888888889,0.0,0.0,0.0,32.333333333333336,5.888888888888889,1.8888888888888886,0.5555555555555555,3.4444444444444446,4.888888888888889,1.0,0.0
Alatengheili,65,66,Orthodox,1708.7662076298425,149.04826115029098,0.05999371251167666,0.41394809894943363,0.37328296703296704,0.3539525249252745,0.30337886038253686,0.6172275641025641,0.6011363636363637,0.34676332746593036,0.041666666666666664,0.34375,0.125,18.791666666666668,0.5833333333333333,0.0,0.0,42.083333333333336,12.375,8.625,2.1666666666666665,1.5833333333333333,11.708333333333334,0.041666666666666664,0.625
Amir Albazi,65,68,Orthodox,1833.8698266520385,167.21476895313535,0.05999609437229152,0.5120544688600506,0.46296296296296297,0.4198386521868534,0.3506104681904487,0.7525183150183151,0.853641456582633,0.3537182365112342,0.14444444444444446,0.5736714975845411,0.1111111111111111,21.400000000000002,0.7333333333333333,0.3666666666666667,0.0,93.91111111111111,13.366666666666667,9.200000000000001,2.288888888888889,1.8777777777777775,10.4,0.14444444444444446,2.8222222222222224
John Albert,68,68,Orthodox,1277.7547068089445,179.16617187447446,0.05999807109474611,0.6154158254210775,0.0,0.4529233511586453,0.3538415003024803,0.49000000000000005,0.8,0.351797385620915,0.2733333333333333,0.6147058823529411,0.2,22.5,0.0,1.5,0.2,33.2,13.0,8.8,3.1,1.1,6.5,3.0,3.5
Junior Albini,75,74,Orthodox,1471.3521722050114,172.3906416814352,0.05999747376157685,0.6201333120034127,0.26666666666666666,0.5635963407661521,0.456637022397892,0.7442424242424243,0.9083333333333334,0.5402599574338705,0.6321428571428571,0.26666666666666666,0.2,19.533333333333335,0.4,0.0,0.0,41.96666666666666,15.0,8.633333333333333,4.3,2.066666666666667,11.566666666666666,2.833333333333333,0.6
Wes Albritton,70,70,Orthodox,1337.6891060937023,290.31896371798047,0.05999967537233814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandra Albu,62,63,Orthodox,1443.168932010954,211.6218244829986,0.059999786804915294,0.4982636542234065,0.23958333333333331,0.4861176919313405,0.4454927884615385,0.5490804597701149,0.625,0.4107479977116705,0.6180402930402931,0.33333333333333337,0.0,22.625,0.5,0.125,0.0,36.375,18.0,13.25,3.916666666666667,0.8333333333333333,10.875,5.708333333333333,1.4166666666666667
