name,height,weight,reach,stance,wins,losses,draws
Izabela Badurek,"5' 5""",115 lbs.,--,Orthodox,6,3,0
Miguel Baeza,"6' 2""",170 lbs.,"74.0""",Orthodox,10,4,0
Ali Bagautinov,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0
Mehdi Baghdad,"6' 1""",155 lbs.,--,Orthodox,11,5,0
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70.0""",Southpaw,8,3,0
Siyar Bahadurzada,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1
Ignacio Bahamondes,"6' 3""",155 lbs.,"75.0""",Orthodox,17,5,0
Bahatebole Batebolati,"5' 8""",170 lbs.,"71.0""",Southpaw,10,1,1
Shamar Bailey,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0
Jordan Bailey,"5' 9""",145 lbs.,--,,6,3,0
Scott Baker,"6' 0""",210 lbs.,--,,1,1,0
Bryan Baker,"6' 3""",185 lbs.,--,Orthodox,18,5,0
Jin Bala,"5' 9""",155 lbs.,--,,23,3,0
 Balajin,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0
Oluwale Bamgbose,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0
Stephen Banaszak,"6' 0""",145 lbs.,--,,5,5,0
Marcin Bandel,"5' 10""",155 lbs.,--,Orthodox,15,7,0
Humberto Bandenay,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0
Tae Hyun Bang,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0
Yohan Banks,--,--,--,,2,1,0
Shauna Bannon,"5' 5""",115 lbs.,"65.0""",Switch,7,1,0
Antonio Banuelos,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1
Renan Barao,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0
Junior Barata,"5' 10""",170 lbs.,--,Orthodox,9,3,1
Maycee Barber,"5' 5""",125 lbs.,"65.0""",Switch,14,2,0
Bryan Barberena,"6' 0""",185 lbs.,"72.0""",Southpaw,18,12,0
Dione Barbosa,"5' 6""",125 lbs.,"66.0""",Orthodox,7,3,0
Edson Barboza,"5' 11""",145 lbs.,"75.0""",Orthodox,24,12,0
Raoni Barcelos,"5' 7""",135 lbs.,"67.0""",Orthodox,19,5,0
Daniel Barez,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0
Danny Barlow,"6' 2""",170 lbs.,"79.0""",Southpaw,9,1,0
Luke Barnatt,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0
James Barnes,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0
Nick Barnes,"5' 11""",170 lbs.,--,,11,2,0
Shonte Barnes,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1
Josh Barnett,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0
Chris Barnett,"5' 9""",265 lbs.,"75.0""",Orthodox,23,9,0
Chris Barnhizer,--,--,--,,2,3,0
David Baron,"5' 6""",155 lbs.,--,Switch,17,4,1
Phil Baroni,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0
Dan Barrera,"5' 9""",170 lbs.,--,Orthodox,3,1,0
Carlos Barreto,"6' 4""",230 lbs.,--,Orthodox,14,9,0
Jose Barreto,--,185 lbs.,--,Southpaw,0,1,0
Peter Barrett,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0
Marc-Andre Barriault,"6' 1""",185 lbs.,"74.0""",Orthodox,16,9,0
David Barrios,"5' 6""",145 lbs.,--,,4,8,0
Alexandre Barros,"5' 9""",170 lbs.,--,Southpaw,22,11,0
Ricardo Barros,"6' 1""",205 lbs.,--,,2,2,0
Francimar Barroso,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0
Pat Barry,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0
Dean Barry,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0
Enrique Barzola,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2
Javid Basharat,"5' 9""",135 lbs.,"69.0""",Orthodox,14,2,0
Farid Basharat,"5' 8""",135 lbs.,"71.0""",Orthodox,13,0,0
Austin Bashi,"5' 6""",145 lbs.,"70.0""",Orthodox,13,1,0
Stephen Bass,"5' 9""",145 lbs.,--,Orthodox,11,2,0
Sean Bassett,--,155 lbs.,--,,0,4,0
Ryan Bastianelli,"5' 5""",135 lbs.,--,,6,7,0
Shayna Baszler,"5' 7""",135 lbs.,--,Orthodox,15,11,0
Michel Batista,"6' 3""",260 lbs.,--,Orthodox,4,1,0
Bryan Battle,"6' 1""",170 lbs.,"77.0""",Orthodox,13,2,0
Alan Baudot,"6' 3""",243 lbs.,"79.0""",Orthodox,8,3,0
Mario Bautista,"5' 9""",135 lbs.,"69.0""",Switch,15,2,0
Chris Beal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0
Donovan Beard,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0
Rudy Bears,"5' 11""",170 lbs.,--,Southpaw,16,15,0
Salvador Becerra,"5' 9""",155 lbs.,--,,5,2,0
Ariel Beck,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0
Jeff Bedard,"5' 6""",145 lbs.,--,Orthodox,13,3,0
Eric Bedard,"6' 2""",239 lbs.,--,,6,7,0
Johnny Bedford,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1
Rolando Bedoya,"5' 11""",155 lbs.,"74.0""",Orthodox,14,4,0
Chase Beebe,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1
Lyle Beerbohm,"5' 10""",155 lbs.,--,Southpaw,24,3,0
Allan Begosso,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1
Azamat Bekoev,"6' 0""",185 lbs.,"72.0""",Orthodox,19,3,0
Mirsad Bektic,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0
Diana Belbita,"5' 7""",125 lbs.,"68.0""",Orthodox,15,9,0
Alan Belcher,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0
Vitor Belfort,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0
Yousri Belgaroui,"6' 5""",185 lbs.,"79.0""",Orthodox,8,3,0
Rodolfo Bellato,"6' 3""",205 lbs.,"77.0""",Orthodox,12,2,1
Danilo Belluardo,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0
Joey Beltran,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0
Marco Beltran,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0
Joseph Benavidez,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0
Mike Bencic,"6' 0""",215 lbs.,--,Orthodox,1,2,0
Dave Beneteau,"6' 2""",250 lbs.,--,Orthodox,6,5,1
Karla Benitez,"5' 3""",113 lbs.,--,,14,11,1
