name,height,reach,stance
Chandler Cole,70,72,Orthodox
Mark Coleman,73,75,Orthodox
Cortez Coleman,73,73,Orthodox
Clay Collard,71,73,Orthodox
Jamie Colleen,63,65,Orthodox
Jake Collier,75,78,Orthodox
Christian Colombo,77,77,Orthodox
Willian Colorado,70,72,Orthodox
Wes Combs,74,74,Orthodox
Rose Conceicao,55,65,Orthodox
Carlos Condit,74,75,Orthodox
Chris Condo,72,72,Orthodox
Tristan Connelly,70,68,Orthodox
Marcos Conrado Jr.,74,74,Orthodox
Jeremiah Constant,73,73,Orthodox
Jonathan Contrestano,70,71,Orthodox
Bob Cook,69,69,Orthodox
Mike Cook,73,73,Orthodox
Chad Cook,74,74,Orthodox
TJ Cook,74,74,Orthodox
Dewey Cooper,74,74,Orthodox
Brett Cooper,72,72,Orthodox
Bill Cooper,70,71,Orthodox
Bobby Cooper,73,73,Orthodox
Amanda Cooper,63,64,Switch
Kit Cope,72,72,Orthodox
Chris Cope,72,72,Orthodox
Josh Copeland,73,73,Orthodox
Michael Cora,73,77,Southpaw
Akira Corassani,68,68,Orthodox
Muhsin Corbbrey,70,70,Orthodox
Daniel Cormier,71,72,Orthodox
Nora Cornolle,67,67,Orthodox
Clint Coronel,70,71,Orthodox
Henry Corrales,69,69,Orthodox
